rok	pořadí	jméno	žokej	překážka	zranění	smrt
2014	2	AL JAZ	ž. Josef Sovka			
2014	13	CARDAM	ž. Jaroslav Brečka			
2014	8	GAUNER DANON	Jan Kratochvíl			
2014	5	KASIM	ž. Marcel Novák			
2014	3	KLAUS	ž. Jaroslav Myška			
2014	17	LAMBRO	ž. Mark Grant			
2014	14	MOULA	Petr Tůma			
2014	1	ORPHEE DES BLINS	ž. Jan Faltejsek			
2014	10	PARETO	ž. Thomas Boyer			
2014	15	RUBÍN	Martina Růžičková			
2014	9	SHERARDO	Michal Kubík			
2014	12	SISI MERBLE	Jakub Kocman			
2014	11	SOROS	ž. Josef Váňa ml.			
2014	16	TIUMEN	ž. Josef Váňa st.			
2014	7	TREZOR	Ondřej Velek			
2014	4	UNIVERSE OF GRACIE	ž. Jiří Kousek			
2014	6	ZARIF	ž. Marek Stromský			
2014	PN	AMARAGON	Martin Liška	4		
2014	ZN	NIKAS	ž. Dušan Andrés	4		
2014	PN	ZULEJKA	ž. Josef Bartoš	4		1
2014	ZN	PEINTRE ABSTRAIT	ž. Lukáš Matuský	5		
2014	ZN	TER MILL	ž. Michal Köhl	25		
2013	4	KASIM 	ž. Marcel Novák			
2013	3	KLAUS 	ž. Jaroslav Myška			
2013	2	NIKAS 	ž. Dušan Andrés			
2013	1	ORPHEE DES BLINS	ž. Jan Faltejsek			
2013	5	PEINTRE ABSTRAIT	Lukáš Matuský			
2013	PN	MOUNT SION	ž. Richard McLernon	3		
2013	6	TROPIC DE BRION	Marc-Antoine Dragon			
2013	ZN	AL JAZ	ž. Michal Köhl	5		
2013	ZN	BUDAPEST 	ž. Josef Váňa 3	6		
2013	ZN	CANTRIDARA 	am. Freddie Mitchell	6		
2013	ZN	SPERANZA 	ž. Thomas Boyer	6		
2013	PN	FRENEYS WELL	Martin James Ferris	7		
2013	ZN	TOMIS 	Ondřej Velek	7		
2013	ZN	SHALIMAR FROMENTRO	ž. Alain De Chitray	10		
2013	Z	SEŠLOST 	ž. Liam Treadwell	12		
2013	ZN	ZEST FOR LIFE	am. Sam Waley-Cohen	15		
2013	ZN	STATUS QUO	ž. Pavel Kašný	19		
2013	Z	BODYGUARD 	ž. Jaroslav Brečka	25		
2013	PN	TREZOR 	ž. Josef Bartoš 2	27		
2013	ZN	TIUMEN 	ž. Josef Váňa 2	30		
2012	12	ASPIRANT 	Velek Ondřej			
2012	10	BELMONT 	Váňa Josef, ml.			
2012	11	CABERNET 	Benš Rostislav			
2012	7	DOCTOR 	McLernon Richard			
2012	14	GRILIAS 	Hamblin Paul Francis			
2012	ZN	BREMEN PLAN	Korpas Jan	4		
2012	13	KARLSBAD 	Boyer Thomas			
2012	9	KLAUS 	Myška Jaroslav			
2012	15	LE 	Brečka Jaroslav			
2012	4	MALJIMAR 	Reveley James			
2012	1	ORPHEE 	Faltejsek Jan			
2012	2	RONINO 	Kousek Jiří			
2012	3	TIUMEN 	Váňa Josef			
2012	8	TREZOR 	Treadwell Liam			
2012	6	UNCLE 	Mullins Emmet			
2012	5	VALLDEMOSO 	Andrés Dušan			
2012	Z	ARGENTAN 	Stromský Marek	12		
2012	ZN	NIKAS	Petr Tůma	12		
2012	Z	MANDARINO 	Kašný Pavel	16		
2012	Z	WYONA	Michal Kubík	23		
2012	Z	SIXTEEN	Josef Bartoš	25		
2012	Z	TOMIS	Bohuslav Mátl	20+21		
2012	ZN	IMBIR 	Lovén Niklas	8+9		
2011	PN	ZULEJKA 	Šimůnek Libor	2		
2011	PN	KARLSBAD	ž. Novák Marcel	4		
2011	8	AMANT GRIS	ž. Stromský Marek			
2011	7	ASPIRANT	ž. Lemée Julien			
2011	6	BREMEN PLAN	ž. Korpas Ja			
2011	4	FLAMBION	Sovka Josef			
2011	5	MANDARINO; 	ž. Kašný Pavel			
2011	2	SIXTEEN	ž. Bartoš Josef, ml.			
2011	1	TIUMEN	ž. Váňa Josef, st.			
2011	3	VALLDEMOSO; 	ž. Andrés Dušan			
2011	9	WAVELIGHT LASER	ž. Kousek Jiří			
2011	ZN	KLAUS	ž. Myška Jaroslav	18		
2011	PN	TREZOR	ž. Mátl Bohuslav	27		
2011	Z	LIRAIN 	ž. Váňa Josef, ml.	29		
2010	PN	LIGRETA 	Baluchová Lucie	2		
2010	ZN	VALLDEMOSO 	Andrés Dušan	4		
2010	2	AMANT GRIS	Stromský Marek			
2010	7	ASPIRANT	Faltejsek Jan			
2010	11	BEJRUT	Kašný Pavel			
2010	10	JUVENTUS	Korpas Jan			
2010	8	KOBUZ	Šimůnek Libor			
2010	9	LAKREG 	Liška Martin			
2010	6	LIRAIN 	Váňa Josef, ml.			
2010	4	MANDARINO 	Myška Jaroslav			
2010	12	MR BIG	Fehily Noel			
2010	3	SIXTEEN	Bartoš Josef, ml.			
2010	5	TEVIOT 	Urbánek Luboš			
2010	1	TIUMEN	Váňa Josef, st.			
2010	ZN	RUBÍN 	Růžičková Martina	6		
2010	ZN	BREMEN PLAN	Kousek Jiří	7		
2010	Z	JUNG	Mátl Bohuslav	16		
2010	ZN	TERESINA	Novák Marcel	30		
2010	Z	IL EN REVE	Složil Pavel	20+21		
2009	PN	HIRSCH 	Andrés Dušan	4		
2009	14	DERBY SHARP	Sovka Josef			
2009	18	IL EN REVE	Wheelan Kenneth			
2009	8	JUFUL TENNIS	de Oliveira Fernand			
2009	6	JUNG	Mátl Bohuslav			
2009	9	LAKREG; 	Liška Martin			
2009	4	MANDARINO 	Myška Jaroslav			
2009	12	MARATH; 	Hamblin Paul Francis			
2009	16	MR BIG	Fehily Noel			
2009	13	MR LAND	Složil Pavel			
2009	3	NUMERO DUE	Kousek Jiří			
2009	5	POCCI	Korpas Jan			
2009	10	PROFIL; 	Köhl Michal			
2009	15	RED DANCER	Romano Raffaele			
2009	17	ROOSEVELT	Boyer Thomas			
2009	2	SIXTEEN	Bartoš Josef, ml.			
2009	7	SUPER LORD	Faltejsek Jan			
2009	1	TIUMEN	Váňa Josef, st.			
2009	11	TOMIS; 	Kašný Pavel			
2009	ZN	LUCKY NELLERIE	Mercer Keith	6		
2009	ZN	LUCKY LUK	Maguire Jason	15		
2009	Z	SHIRLEY	Stromský Marek	18		1
2009	ZN	LIRAIN 	Hrudka Jaromír	27		
2009	Z	DEL SOLE	Váňa Josef, ml.	28		
2009	ZN	MONTGOMERY 	Tůma Petr	29		
2008	ZN	JUNG	Mátl Bohuslav	-1		
2008	D1	AMANT GRIS	Stromský Marek			
2008	5	DECENT FELLOW	Váňa Josef, ml.			
2008	2	HIRSCH; 	Kousek Jiří			
2008	D6	IVOIRE DE BEAULIEU	Mercer Keith			
2008	3	JUVENTUS	Váňa Josef, st.			
2008	6	MR LAND	Sedlář Libor			
2008	4	NUMERO DUE	Urbánek Luboš			
2008	1	SIXTEEN	Bartoš Josef, ml.			
2008	ZN	MARATH 	Sovka Josef	17		
2008	ZN	PROFIL 	Rája Jan	17		
2008	ZN	ICARE DU RENOM	Liška Martin	18		
2008	Z	NADOVER	Fehily Noel	25		
2008	Z	FATAL MAC	Romano Raffaele	27		
2008	PN	KLIP 	Faltejsek Jan	10a		1
2008	Z	KASJER	Myška Jaroslav	20+21		
2007	PN	CIESZYMIR	Stromský Marek	4		1
2007	PN	MASKUL	Myška Jaroslav	4		
2007	6	ASCOT	Novák Marcel			
2007	2	DECENT FELLOW	Hurt Tomáš			
2007	3	ELIŠKA PŘEMYSLOVNA;	Kašný Pavel			
2007	7	HARRY THE BEAVER	Horčička Pavel			
2007	4	IVOIRE DE BEAULIEU	Mercer Keith			
2007	5	JUVENTUS	Váňa Josef, ml.			
2007	1	SIXTEEN	Andrés Dušan			
2007	8	SYBELLIUS D´ARTAIX	Whelan Kenneth			
2007	9	ZEEROW; 	Hrudka Jaromír			
2007	Z	BRAMBUSCH	Havelka Radek	15		
2007	ZN	THREE MILL	Faltejsek Jan	18		
2007	Z	POLÁRNÍK 	Složil Pavel	29		
2006	ZN	ELIŠKA PŘEMYSLOVNA	Mátl Bohuslav	4		
2006	PN	GLOGLOGLO 	Luka Václav	4		
2006	PN	CHAILAND 	Růžičková Martina	4		
2006	PN	IRAKLION	Kameníček Jiří	4		
2006	6	BRAMBUSCH	Köhl Michal			
2006	3	CIESZYMIR	Havelka Radek			
2006	1	DECENT FELLOW	Bartoš Josef, ml.			
2006	7	HARRY THE BEAVER	Horčička Pavel			
2006	4	ICARE DU RENOM	Liška Martin			
2006	2	JUVENTUS	Váňa Josef			
2006	5	KLIP; 	Myška Jaroslav			
2006	8	POLÁRNÍK; 	Složil Pavel			
2006	PN	VAJGARA 	Andrés Dušan	6		
2006	ZN	HASTAVEN	Faltejsek Jan	10		
2006	ZN	JUNIUSZ	Johnson John Paul	18		
2006	ZN	NER	Hurt Tomáš	24		
2006	PN	MASKUL	Fuhrmann Dirk	10a		
2005	PN	REGISTANA	Crowley James	2		
2005	7	ASCOT	Matysík Zdeněk			
2005	5	BELOVODSK	Plzák Jiří			
2005	2	DECENT FELLOW	Bartoš Josef, ml.			
2005	4	KEDON; 	Váňa Josef			
2005	3	LANERET; 	Tůma Pavel, ml.			
2005	1	MASKUL	Fuhrmann Dirk			
2005	6	RED DANCER	Andrés Dušan			
2005	ZN	HASTAVEN	Hurt Tomáš	5		
2005	ZN	ODYSEUSZ	Stromský Marek	10		
2005	ZN	JACK DE TRAOU LAND	Luka Václav, ml.	11		
2005	ZN	CHAILAND 	Růžičková Martina	18		
2005	ZN	TAKAGI	Maguire Jason	18		
2005	ZN	IRAKLION	Havelka Radek	25		
2005	SN	LUZCADOU	Mercer Keith	25		
2005	Z	NOSTALGIA	Kameníček Jiří	25		
2004	7	BARBARESCO; 	Hurt Tomáš			
2004	3	DECENT FELLOW	Havelka Radek			
2004	6	KYRTON; 	Bartoš Josef, ml.			
2004	5	LANERET; 	Tůma Pavel, ml.			
2004	4	MASKUL	Andrés Dušan			
2004	1	REGISTANA	Gehm Peter			
2004	2	RETRIEVER	Váňa Josef			
2004	ZN	JUNIUSZ	Kašný Pavel	5		
2004	PN	BARGIEL	Stromský Marek	7		
2004	PN	CLAWICK CONNECTION	Whelan Kenneth	7		
2004	PN	JESLADY	Štohanzl Jaromír, ml.	7		
2004	PN	MOSE HARPER	Rája Jan	7		
2004	PN	NARRATOR	Köhl Michal	7		
2004	PN	HARRY IN A HURRY	Fehily Noel	10		
2004	Z	HASTAVEN	Faltejsek Jan	24		
2004	SN	LUZCADOU	Moloney Paul	25		
2004	Z	CHANSON 	Urbánek Luboš	27		
2003	Z	RENAISSANCE DANCER	Nehasil Tomáš	-1		
2003	ZN	RENT 	Brečka Jaroslav	4		
2003	ZN	SORD 	Bartoš Josef, ml.	4		
2003	6	BARGIEL	Stromský Marek			
2003	3	DECENT FELLOW	Váňa Josef			
2003	8	FAHRENHEIT 	Rája Jan			
2003	4	FALCON DU COTEAU	Fehily Noel			
2003	9	CHARM 	Hurt Tomáš			
2003	7	LENTINI	Andrés Dušan			
2003	2	MASKUL	Kameníček Jiří			
2003	10	MODŘENKA 	Urbánek Luboš			
2003	5	NARRATOR	Myška Jaroslav			
2003	1	REGISTANA	Gehm Peter			
2003	ZN	KEDON 	Havelka Radek	6		
2003	ZN	MOSE HARPER	Pateman Steven	10		
2003	PN	KYRTON 	Složil Pavel	27		
2003	Z	BARBARESCO 	Regnard Petr	28		
2003	ZN	SZAFRAN	 Köhl Michal	30		
2003	Z	SALAMINI 	Benš Rostislav	10a		
2002	PN	POLEBOS	Köhl Michal	-1		
2002	Z	BLÍN 	Allers-Hankey Dominik	4		
2002	PN	CZANKA	Míča Pavel	4		
2002	PN	ILION 	Regnard Petr	4		
2002	8	BARBARESCO 	Stromský Marek			
2002	4	CENTAX 	Hurt Tomáš			
2002	2	DECENT FELLOW	Andrés Dušan			
2002	6	CHARM 	Složil Pavel			
2002	3	KEDON 	Váňa Josef			
2002	10	LENTINI	Snitkovskij Vladislav			
2002	1	MASKUL	Gehm Peter			
2002	5	MODŘENKA 	Myška Jaroslav			
2002	9	SORD 	Rája Jan			
2002	7	VARCAS 	Špalek Vlastimil			
2002	SN	TAVERN 	Bartoš ml. Josef	27		
2002	Z	PERUÁN 	Matysík Zdeněk	30		
2002	Z	CHALCO 	Luka ml. Václav	8+9		1
2001	ZN	BARROW 	Plzák Jiří	4		
2001	ZN	NICCOLIN 	Bartusch Jiří	4		
2001	1	CHALCO 	Gehm Peter			
2001	10	LE MANS	Hrudka Jaromír			
2001	7	MASKUL	Havelka Radek			
2001	9	MINI FOR	Szikora Pavel			
2001	2	PERUÁN 	Matysík Zdeněk			
2001	5	SANKT MORITZ	Nehasil Tomáš			
2001	3	SESI 	Kameníček Jiří			
2001	6	ST ROGER	Snitkovskij Vladislav			
2001	8	STORM OF FIRE	Váňa Josef			
2001	4	TORPILLE 	Myška Jaroslav			
2001	ZN	CZANKA	Andrés Dušan	7		
2001	SN	IRISH STAMP	McNamara J.P.	25		
2001	Z	ORGAN	Brečka Jaroslav	25		
2001	Z	TOAST	Línek Jaroslav	25		
2001	PN	ANATOLE	Kousek Jiří	29		1
2001	PN	SUPREME CHARM	Thornton Robert	6, 8+9		
2001	ZN	BELOVODSK	Havlíček Jan	8+9		
2001	SN	DJEDDAH	Doumen Thierry	8+9		
2001	SN	FRILEUX ROYAL	Maguire Jason	8+9		
2000	S	HAGARD 	Hurt Tomáš	2		
2000	2	BELOVODSK	Havlíček Jan			
2000	3	CZANKA	Andrés Dušan			
2000	10	HARD WESTPORT	Línek Jaroslav			
2000	8	LATERIT 	Štencl Libor			
2000	4	MARKETPLACE	Složil Pavel			
2000	6	NICCOLIN 	Stromský Marek			
2000	9	OM	Špalek Vlastimil			
2000	1	PERUÁN 	Matysík Zdeněk			
2000	5	RENT 	Průdek Pavel			
2000	7	TOBLINO	 Kameníček Jiří			
2000	PN	KHELSINK	Kašný Pavel	11		
2000	Z	DIAMANT	Šafář Jaromír	26		
2000	ZN	CELTIC GIANT	Gibson Bruce	8+9		
2000	Z	TOAST	Tůma Roman	8+9, 24		
1999	PN	LIZINK 	Andrés Dušan	4		
