rok	pořadí	jméno	žokej	překážka	zranění	smrt
1999	4	BARROW 	Špalek Vlastimil			
1999	3	BELOVODSK	Havlíček Jan			
1999	8	DENNISTOWNTHRILLER	Kameníček Jiří			
1999	7	HAPPY STAR	Kašný Pavel			
1999	5	LYRIK 	Složil Pavel			
1999	1	PERUÁN 	Matysík Zdeněk			
1999	2	RISK OF THUNDER	Whelan Kenneth			
1999	9	ST ROGER	Gehm Peter			
1999	6	VRONSKY 	Váňa Josef			
1999	Z	GREBEC	Jasinský František	11		
1999	ZN	EPOLET	Feodosiadij Jurij	25		
1999	PN	IRISH STAMP	Maguire Adrian	25		
1999	PN	CELESTANO	Šafář Jaromír	10a	1	
1999	PN	DEBICZ	Szikora Pavel	10a		
1999	ZN	 AS DE L´ECHASSERIE 	Bocquet André-Louis	8+9		
1998	ZN	ČEST 	Jasinský František	4		
1998	SN	CELESTANO	Šiška Emil	6		
1998	PN	CIPÍSEK 	Váňa Josef	6	1	
1998	PN	DAMION 	Růžičková Martina	6		1
1998	PN	DEBICZ	Kocián Tomáš, ml.	6		
1998	PN	IRISH STAMP	Carberry Paul	6		
1998	PN	LATERAN 	Kameníček Jiří	6		
1998	PN	SUMAK	Peprna Pavel	6		
1998	PN	SUPERIOR FINISH	Walsh Ruby	6		
1998	SN	TATANKA YOTANKA	Whelan Kenneth	6		
1998	PN	VRONSKY 	Kašný Pavel	6		
1998	2	DEVIL 	Tůma Roman			
1998	6	FOKS	 Kousek Jiří			
1998	5	GART	Feodosiadij Jurij			
1998	3	MARKETPLACE	Složil Pavel			
1998	1	PERUÁN 	Matysík Zdeněk			
1998	7	TRES BELLE	Koplík Zdeno			
1998	4	ZILCO 	Šafář Jaromír			
1998	SN	BARROW 	Špalek Vlastimil	8+9		
1998	SN	RISK OF THUNDER	Dunwoody Richard	8+9		
1998	SN	VARIANT 	Průdek Pavel	8+9		
1998	SN	VESPAN 	Papoušek Jan	8+9		
1997	PN	ČEST 	Jasinský František	2		
1997	ZN	BADDELLIOS	Lewis Guy	4		
1997	4	HOLAN 	Lášek Zdeněk; 	4		
1997	ZN	URANIUN	Bocquet André-Louis	4		
1997	8	ADAIYOUN	Koplík Zdeno			
1997	6	GARET 	Vinklárek Vladimír			
1997	3	GRETTY 	Baluchová Lucie			
1997	5	HŘIVNA 	Kašný Pavel			
1997	2	MARKETPLACE	Složil Pavel			
1997	9	MINI FOR	Andrés Dušan; 			
1997	7	VARIANT 	Štencl Libor; 			
1997	1	VRONSKY 	Váňa Josef			
1997	ZN	VARADERO 	Špalek Vlastimil	15		
1997	ZN	PERUÁN 	Snitkovskij Vladislav	5, 15		
1996	ZN	URANIUN	Bocquet André-Louis	-1		
1996	PN	DOUBLE ODDS	Lewis Guy	4		
1996	PN	FURTADO	Špalek Vlastimil	4		
1996	ZN	RENTO 	Nehasil Tomáš	4		
1996	PN	ČEST 	Jasinský František; 	6		
1996	PN	MATIA MOU	Szikora Pavel; 	7		
1996	6	BALÚ 	Matysík Zdeněk			
1996	1	CIPÍSEK 	Snitkovskij Vladislav			
1996	2	IRISH STAMP	Williamson Norman			
1996	3	IT´S A SNIP	Dunwoody Richard			
1996	10	JAPAN 	 Hurt Jiří			
1996	4	KURT 	Peprna Pavel; 			
1996	8	LORIENT 	Kovanda Josef			
1996	9	LYDKA 	Václavík Miroslav			
1996	5	LYRIK 	 Složil Pavel			
1996	7	VOVES 	Průdek Pavel			
1996	Z	MIRÁNO 	Brečka Jaroslav	24		
1996	PN	VELEDA II	Whelan Kenneth; 	24		
1996	Z	VINNY 	Koplík Zdeno	24		
1996	Z	VRONSKY 	Váňa Josef	29		
1996	Z	ČELKAR 	Lášek Zdeněk	4, 10a		
1995	Z	DRAK 	Štohanzl Jaromír	4		
1995	PN	URANIUN	Bocquet André-Louis	4		
1995	3	CHALCEDON 	Szikora Pavel; 			
1995	1	IT´S A SNIP	Mann Charles J.; 			
1995	6	LORIENT 	Kovanda Josef			
1995	4	MATIA MOU	Váňa Josef			
1995	D3	MIRÁNO 	Brečka Jaroslav			
1995	7	QUIRINUS 	Andrés Dušan			
1995	5	RHODÉ 	Matysík Zdeněk			
1995	8	RIGOLETTO	Snitkovskij Vladislav			
1995	D7	UNISONO 	Vinklárek Vladimír			
1995	2	VINNY 	Koplík Zdeno			
1995	ZN	HYPNOS 	Fencl Miroslav	10a		
1995	SN	KAMBALDA RAMBLER	Crosby Robert	8+9		
1995	ZN	LIMONAIRE	Kleparski Roland	8+9		
1995	Z	MIKI 	Havlíček Jan	8+9		
1994	PN	MATIA MOU	Špalek Vlastimil	4		
1994	PN	PACHA DE FERCE	 Bocquet André-Louis	4		
1994	Z	SERAPHINA 	 Fencl Miroslav	5		
1994	Z	HERERA 	Andrés Dušan	16		
1994	5	ČELKAR 	Lášek Zdeněk			
1994	7	DRAK 	Štohanzl Jaromír			
1994	1	ERUDIT	Snitkovskij Vladislav			
1994	9	CHALCEDON 	Koplík Zdeno			
1994	2	IT´S A SNIP	Mann Charles J.; 			
1994	13	LIARD 	Matysík Zdeněk			
1994	12	LORIENT 	Kovanda Josef			
1994	4	MIRÁNO 	Jančár Petr			
1994	10	RHODÉ 	Zajko Karel			
1994	8	TRENČAN 	Piruch Jozef; 			
1994	6	UNISONO 	Vinklárek Vladimír			
1994	3	VERON 	Havlíček Jan			
1994	11	VINNY 	Štencl Libor			
1994	ZN	SARTORI 	Kantek Miroslav, ml.	25		
1994	Z	VYŠEHRAD 	Váňa Josef	26		
1993	PN	BAROK 	Váňa Josef	4		
1993	ZN	DOGOVOR	Truščenko Jurij; 	4		
1993	ZN	ERUDIT	Snitkovskij Vladislav	4		
1993	SN	RHODÉ 	Kovanda Josef	4		
1993	PN	UNISONO 	 Vinklárek Vladimír	4		
1993	PN	VERAMON 	Zdobina Jiří	4		
1993	1	RIGOLETTO	Štencl Libor			
1993	ZN	MIKI 	Havlíček Jan	25		
1993	Z	FARAD 	Matysík Zdeněk	30		
1992	PN	CORTÉZ 	Armytage Marcus	4		
1992	Z	ČAKRON 	 Zolman Jan, ml.	4		
1992	PN	HARTICHE	Maynard L.; 	4		
1992	ZN	LANOLIN	Bakajev S.	4		
1992	ZN	LIARD 	Matysík Zdeněk	4		
1992	PN	PACHA DE FERCE	Bocquet André-Louis	4		
1992	ZN	ŽELEZNÍK 	Váňa Josef	4		
1992	Z	HRÁČ 	 Fencl Miroslav	6		
1992	4	BOREEN KING	Crosby Robert			
1992	5	GEMER 	 Andrés Dušan			
1992	1	QUIRINUS 	 Brečka Jaroslav			
1992	3	RHODÉ 	Kovanda Josef			
1992	2	VIANA 	Jasinský František			
1992	PN	VÁH 	Snitkovskij Vladislav	27		1
1992	Z	MONKA 	Theimer Milan	4, 5		
1991	PN	HAGEN 	Zdobina Jiří	4		
1991	10	LORIENT 	 Chmelař Rudolf	4		
1991	PN	MONKA 	 Růžičková Martina	4		
1991	PN	PAUZA 	Vinklárek Vladimír	4		1
1991	SN	PIRANA 	Bartoněk Jaroslav	4		
1991	PN	UTAH 	Andrés Dušan	4		
1991	ZN	VEDEREMO 	 Koplík Zdeno	4		
1991	PN	VERST 	 Štohanzl Jaromír	4		
1991	8	VIANA 	Jasinský František	4		
1991	PN	MY DREAM MAKER	Zajko Karel	7		
1991	PN	DISCO 	 Armytage Marcus	14	1	
1991	1	ŽELEZNÍK 	Váňa Josef	14		
1991	ZN	GARNIZON	Kasajev Chusej	18	1	
1991	PN	AZGIR	Chludějev Nikolaj	25		
1991	3	CORTÉZ 	 Havlíček Jan			
1991	PN	PEON 	Bezděk Miroslav	25		
1991	2	DRAK 	 Chaloupka Václav			
1991	4	FORMAN 	  Štencl Libor; 			
1991	9	GEMER 	Václavík Miroslav			
1991	7	LIARD 	 Matysík Zdeněk; 			
1991	5	MAKEMONO 	Kocián Tomáš, ml.			
1991	5	RHODÉ 	Kovanda Josef; 			
1990	Z	KREK	Snitkovskij Vladislav	-1		
1990	ZN	RHODÉ 	Zdobina Jiří	-1		
1990	PN	SLALOM 	Štohanzl Jaromír	-1		
1990	PN	GRAND CHEVAL	Wragg Gavin	3		
1990	PN	DISCO 	Paulina Jiří	4		
1990	ZN	DRAK 	Vozáb Petr	4		
1990	PN	FORMÁT 	Soukup Václav	4		1
1990	PN	JIČÍN 	Havlíček Jan	4		
1990	PN	LEST 	Lang Tomáš	4		
1990	PN	MAREK 	Kantek Miroslav	4		
1990	PN	MONKA 	Charvátová Romana	4		
1990	ZN	TOKIO 	Jeřábek Antonín	4		
1990	PN	TRESŤ	Kravčenko V.	4		
1990	PN	UTAH 	Kovanda Josef	4		
1990	PN	CHUTOROK	Kuman Roman	5		
1990	ZN	DYNAMIT 	Hanuš Miroslav, st.	6		
1990	11	RIGOLETTO	Ševljakov Jurij	6		
1990	ZN	ŽELEZNÍK 	Váňa Josef	6		
1990	PN	FLOVER 	Matysík Zdeněk	7		
1990	10	GREWOT 	Vinklárek Vladimír	18		
1990	7	CLONROCHE STREAM	Chandler Richard	27		
1990	9	CORTÉZ 	Bodlák Zdeněk	27		
1990	5	BADGERS MEAD	Smith-Osbourne Julian			
1990	4	FORMAN 	Štencl Libor			
1990	2	FRÁZE 	Chaloupka Václav			
1990	1	LIBENTÍNA 	Zajko Karel			
1990	3	PRECIPICE LODGE	Naylor-Layland David			
1990	6	SILUETA 	Armytage Marcus			
1990	8	LORIENT 	Chmelař Rudolf	25, 27		
1989	Z	CARIBO	Havlíček Jan	3		
1989	PN	GREWOT 	Hačko Julius	3		
1989	ZN	RAKITNIK	Chandler Richard	3		
1989	ZN	TORPHA	Petrlík Roland	3		
1989	PN	ČABRAK 	Tokov Mahmud	4		
1989	PN	GAJSAN	Umarov Roman	4		
1989	8	HARTWIK 	Kovanda Josef	4		
1989	PN	MOCA 	Hanuš Miroslav, st.	4		
1989	PN	QUIRINUS 	Nestěrov Genadij	4		
1989	PN	PARNAS 	Brečka Jaroslav	6		
1989	Z	VELEN 	Langer Antonín	7		
1989	PN	RED CHEVAL	Chmelař Rudolf	10		
1989	Z	TARQUIN	Vozáb Petr	10		
1989	PN	WAGARÍ 	Váňa Josef	12		
1989	SN	GARNIZON	Vinklárek Vladimír	17		
1989	Z	MEDAILON 	Blábolil Jaroslav	17		
1989	7	EKSPONAT	Štencl Libor	18		
1989	PN	LJUBISTOK	Kadvan Štefan	27		
1989	6	BLACKTORN	Morgan Gerald			
1989	Z	SLALOM 	Lee Jonathan	4, 5		
1989	3	FORMAN 	Chaloupka Václav			
1989	2	FRÁZE 	Šara Ludovít			
1989	4	LIBENTÍNA 	Chludějev Nikolaj			
1989	5	SILUETA 	Štohanzl Jaromír			
1989	1	ŽELEZNÍK 	Sporborg William			
1988	2	FREE FLOW	Zdobina Jiří			
1988	PN	CHVÍLE 	Štencl Libor			
1988	PN	LIBENTÍNA 	Kadvan Štefan			
1988	3	MEDAILON 	Chaloupka Václav			
1988	PN	MERCATOR 	Kantek Miroslav			
1988	ZN	ORKA 	Vinklárek Vladimír			
1988	PN	PARÁDA 	Ševljakov Jurij			
1988	PN	SLITOK	Novák Antonín			
1988	PN	TÖRÖK KARD	Nestěrov Genadij			
1988	ZN	TRESŤ	Grassl Marián			
1988	Z	VIADUKT 	Štohanzl Jaromír			
1988	SN	VIVIER 	Váňa Josef			
1988	1	ŽELEZNÍK 	Vozáb Petr			
1987	5	FESTIVAL 	Štencl Libor			
1987	2	FORMAN 	Hanuš Miroslav, st.			
1987	3	GIBRIDKA	Zušťák Zbyněk			
1987	PN	GOLGOTA 	Juránek Petr			
1987	ZN	MAJÁK 	Beránek Stanislav			
1987	Z	MALBA 	Kantek Miroslav			
1987	4	ORKA 	Jasinský František			
1987	SN	PARAMON 	Kasajev Chasan			
1987	ZN	SAFJAN	Havlíček Jan			
1987	PN	VIETOR 	Štohanzl Jaromír			
1987	ZN	VIVIER 	Váňa Josef			
1987	1	ŽELEZNÍK 	Bartusch Jiří			
1986	Z	DINGO 	Hanuš Miroslav, st.			
1986	SN	DUKÁT 	Chludějev Nikolaj			
1986	PN	EROT	Zajíček Miroslav			
1986	Z	ESKADRA 	Vozáb Petr			
1986	4	FESTIVAL 	Kasajev Chusej			
1986	2	GVARDĚJSK	Kovanda Josef			
1986	6	LÍTOST 	Štohanzl Jaromír			
1986	PN	LOZORNO 	Beránek Stanislav			
1986	3	MALBA 	Kantek Miroslav			
1986	5	ORKA 	Váňa Josef			
1986	ZN	PARAMON 	Bezděk Miroslav			
1986	SN	POLLY EXPRES	Zajko Karel			
1986	1	VALENCIO 	Novák Antonín			
1986	ZN	ŽELEZNÍK 	Hytych Pavel			
1985	6	BORG 	Kasajev Chusej			
1985	4	ELDA 	Chludějev Nikolaj			
1985	ZN	EROT 	Chaloupka Václav			
1985	Z	ESSEX 	Vozáb Petr			
1985	1	FESTIVAL 	Štohanzl Jaromír			
1985	Z	JAWAN 	Ševljakov J.			
1985	PN	PANSIONAT 	Váňa Josef			
1985	2	PARAMON 	Kuchovský Kamil			
1985	3	SANTOS 	Michal Jaroslav			
1985	5	VEMÍN 	Novák Antonín			
1985	Z	ŽELEZNÍK 	Juhász Vendelín			
1984	PN	BLISTR 	Valkony Pavel			
1984	PN	BOLID 	Zajko Karel			
1984	ZN	BORG 	Kuchovský Kamil			
1984	PN	DUKÁT 	Olejnicki J.			
1984	PN	EMANUEL 	Chludějev Nikolaj			
1984	1	EROT 	Vozáb Petr			
1984	2	FESTIVAL 	Kasajev Chusej			
1984	PN	FUTBOL 	Amelčenko Nikolaj			
1984	4	GABR 	Štohanzl Jaromír			
1984	3	JAWAN 	Zazin A.			
1984	Z	KAPELLAN 	Kantek Miroslav			
